horizon,horizon_label,lag_weeks,channel,train_n,test_n,train_weeks,test_weeks,RMSE,NRMSE,R2,MAPE
1week,1주 후,1,Offline,8872,3057,40,14,167820.0,0.666,0.655,190.3
1week,1주 후,1,Online,7318,2560,40,14,207231.0,0.493,0.821,76.9
1week,1주 후,1,Total,9228,3185,40,14,286087.0,0.493,0.826,132.9
1month,1개월 후,4,Offline,8333,2795,41,13,171484.0,0.681,0.638,197.1
1month,1개월 후,4,Online,6870,2356,41,13,211605.0,0.504,0.813,83.0
1month,1개월 후,4,Total,8687,2916,41,13,299032.0,0.515,0.809,139.2
3months,3개월 후,13,Offline,6115,2727,41,13,174516.0,0.679,0.629,203.4
3months,3개월 후,13,Online,5006,2327,41,13,215641.0,0.509,0.807,91.9
3months,3개월 후,13,Total,6432,2854,41,13,304678.0,0.515,0.803,138.8
6months,6개월 후,26,Offline,3089,2643,41,13,189113.0,0.719,0.57,190.8
6months,6개월 후,26,Online,2464,2242,41,13,261667.0,0.598,0.72,99.8
6months,6개월 후,26,Total,3315,2783,41,13,346822.0,0.573,0.748,130.0
